transaction_number,transaction_date,transaction_type,transaction_description,debit_amount,credit_amount,balance,category,location_city,location_country,amount,direction
693,2022-01-24,DEB,ROLLS ROYCE LEISUR,4.3,,428.82,Entertainment,Derby,UK,4.3,debit
694,2022-01-24,BP,SAVE THE CHANGE,1.46,,433.12,Savings,Nottingham,UK,1.46,debit
695,2022-01-24,DEB,MOWGLI STREET FOOD,35.85,,434.58,Dine Out,Nottingham,UK,35.85,debit
696,2022-01-24,DEB,NOTTINGHAM CASTLE,19.0,,470.43,Entertainment,Nottingham,UK,19.0,debit
697,2022-01-21,DEB,LIDL GB NOTTINGHAM,18.94,,489.43,Groceries,Nottingham,UK,18.94,debit
698,2022-01-21,DEB,ATRIUM JUBILEE 1,2.3,,508.37,Dine Out,Nottingham,UK,2.3,debit
699,2022-01-21,DEB,CAFFE NERO NOTTING,9.45,,510.67,Dine Out,Nottingham,UK,9.45,debit
700,2022-01-21,CPT,LNK TESCO HK R NOT,40.0,,520.12,Cash,nottingham,UK,40.0,debit
701,2022-01-21,BP,SAVE THE CHANGE,0.57,,560.12,Savings,Nottingham,UK,0.57,debit
702,2022-01-20,FPO,TRADING212UK,300.0,,560.69,Investment,Nottingham,UK,300.0,debit
703,2022-01-20,FPI,SHEILA SMITH,,380.0,860.69,Supplementary Income,Nottingham,UK,380.0,credit
704,2022-01-20,DEB,ORIENTAL MART HYDR,9.78,,480.69,Groceries,Nottingham,UK,9.78,debit
705,2022-01-20,DEB,GREGGS,2.65,,490.47,Dine Out,Unknown,Unknown,2.65,debit
706,2022-01-20,BP,SAVE THE CHANGE,1.31,,493.12,Savings,Nottingham,UK,1.31,debit
707,2022-01-19,DEB,Subway 32610 Midla,6.19,,494.43,Dine Out,Nottingham,UK,6.19,debit
708,2022-01-19,DEB,ATRIUM JUBILEE 1,2.5,,500.62,Dine Out,Nottingham,UK,2.5,debit
709,2022-01-19,BP,SAVE THE CHANGE,0.69,,503.12,Savings,Nottingham,UK,0.69,debit
710,2022-01-18,FPO,MISS D WU,6.0,,503.81,Services,Nottingham,UK,6.0,debit
711,2022-01-18,FPO,TAMBA TAM,10.0,,509.81,Services,Nottingham,UK,10.0,debit
712,2022-01-18,DEB,LIDL GB  NOTTINGHA,17.31,,519.81,Groceries,Nottingham,UK,17.31,debit
713,2022-01-18,BP,SAVE THE CHANGE,0.1,,537.12,Savings,Nottingham,UK,0.1,debit
714,2022-01-17,DEB,CAVES,19.9,,537.22,Entertainment,Nottingham,UK,19.9,debit
715,2022-01-17,DD,VIRGIN MEDIA PYMTS,25.5,,557.12,Bills,Nottingham,UK,25.5,debit
716,2022-01-17,DD,O2,17.06,,582.62,Other Shopping,Nottingham,UK,17.06,debit
717,2022-01-17,BP,SAVE THE CHANGE,3.42,,599.68,Savings,Nottingham,UK,3.42,debit
718,2022-01-17,DEB,MUSEUM,16.4,,603.1,Entertainment,Unknown,Unknown,16.4,debit
719,2022-01-17,DEB,200 DEGREES,9.7,,619.5,Dine Out,Nottingham,UK,9.7,debit
720,2022-01-17,DEB,POUNDLAND LTD 1718,8.75,,629.2,Groceries,Nottingham,UK,8.75,debit
721,2022-01-17,FPO,TAMBA TAM,115.0,,637.95,Services,Nottingham,UK,115.0,debit
722,2022-01-17,DEB,LIDL GB  NOTTINGHA,20.45,,752.95,Groceries,Nottingham,UK,20.45,debit
723,2022-01-14,DEB,Subway 32610 Midla,6.19,,773.4,Dine Out,Nottingham,UK,6.19,debit
724,2022-01-14,DEB,ORIENTAL MART HYDR,5.1,,779.59,Groceries,Nottingham,UK,5.1,debit
725,2022-01-14,DEB,AMZNMktplace,12.99,,784.69,Amazon,Nottingham,UK,12.99,debit
726,2022-01-14,BP,SAVE THE CHANGE,0.51,,797.68,Savings,Nottingham,UK,0.51,debit
727,2022-01-14,FPO,ANTIGONI ABRAHMS,6.0,,798.19,Entertainment,London,UK,6.0,debit
728,2022-01-13,DEB,HPI INSTANT INK UK,3.49,,804.19,Other Shopping,Unknown,Unknown,3.49,debit
729,2022-01-13,BP,SAVE THE CHANGE,1.16,,807.68,Savings,Nottingham,UK,1.16,debit
730,2022-12-01,DEB,TESCO STORE 2960,12.2,,808.84,Groceries,Unknown,Unknown,12.2,debit
731,2022-12-01,DEB,Subway 32610 Midla,6.99,,821.04,Dine Out,Nottingham,UK,6.99,debit
732,2022-12-01,DEB,ATRIUM JUBILEE 1,2.65,,828.03,Dine Out,Nottingham,UK,2.65,debit
733,2022-12-01,BP,SAVE THE CHANGE,0.21,,830.68,Savings,Nottingham,UK,0.21,debit
734,2022-11-01,DEB,RAJAH FOOD STORE L,38.79,,830.89,Groceries,Nottingham,UK,38.79,debit
735,2022-11-01,BP,SAVE THE CHANGE,0.52,,869.68,Savings,Nottingham,UK,0.52,debit
736,2022-10-01,DEB,YANKEE STORE,19.48,,870.2,Other Shopping,Unknown,Unknown,19.48,debit
737,2022-10-01,BP,SAVE THE CHANGE,2.99,,889.68,Savings,Nottingham,UK,2.99,debit
738,2022-10-01,DEB,DISCO BOWL NOTTING,20.5,,892.67,Entertainment,Nottingham,UK,20.5,debit
739,2022-10-01,DEB,FUNSTATION,15.0,,913.17,Entertainment,Nottingham,UK,15.0,debit
740,2022-10-01,DEB,MCDONALDS,13.87,,928.17,Dine Out,Unknown,Unknown,13.87,debit
741,2022-10-01,DEB,POUNDLAND LTD 1718,13.0,,942.04,Groceries,Nottingham,UK,13.0,debit
742,2022-10-01,DEB,POUNDLAND LTD 1726,7.5,,955.04,Groceries,Nottingham,UK,7.5,debit
743,2022-10-01,DEB,LIDL GB NOTTINGHAM,5.67,,962.54,Groceries,Nottingham,UK,5.67,debit
744,2022-10-01,DEB,UBER   *TRIP,5.12,,968.21,Travel,Unknown,Unknown,5.12,debit
745,2022-10-01,DEB,UBER   *TRIP,1.0,,973.33,Travel,Unknown,Unknown,1.0,debit
746,2022-10-01,DEB,AMZ*Zeina Foods,,14.5,974.33,Supplementary Income,Nottingham,UK,14.5,credit
747,2022-07-01,DEB,TESCO STORE 2960,18.35,,959.83,Groceries,Unknown,Unknown,18.35,debit
748,2022-07-01,BP,SAVE THE CHANGE,3.67,,978.18,Savings,Nottingham,UK,3.67,debit
749,2022-06-01,FPO,MISS D WU,1.0,,981.85,Services,Nottingham,UK,1.0,debit
750,2022-06-01,DEB,LIDL GB  NOTTINGHA,12.54,,982.85,Groceries,Nottingham,UK,12.54,debit
751,2022-06-01,DEB,Subway 39497 Victo,6.19,,995.39,Dine Out,Nottingham,UK,6.19,debit
752,2022-06-01,DEB,TESCO STORE 2960,1.15,,1001.58,Groceries,Unknown,Unknown,1.15,debit
753,2022-06-01,DEB,AMZNMktplace,51.05,,1002.73,Amazon,Nottingham,UK,51.05,debit
754,2022-06-01,DEB,Amazon.co.uk*PU3OT,6.4,,1053.78,Amazon,Nottingham,UK,6.4,debit
755,2022-06-01,BP,SAVE THE CHANGE,0.09,,1060.18,Savings,Nottingham,UK,0.09,debit
756,2022-05-01,DEP,CLUB LLOYDS WAIVED,,3.0,1060.27,Supplementary Income,Nottingham,UK,3.0,credit
757,2022-05-01,PAY,CLUB LLOYDS FEE,3.0,,1057.27,Bills,Nottingham,UK,3.0,debit
758,2022-05-01,DEB,UBER   *TRIP,5.91,,1060.27,Travel,Unknown,Unknown,5.91,debit
759,2022-05-01,DEB,NEW STREET HCO,39.0,,1066.18,Clothes,Unknown,Unknown,39.0,debit
760,2022-05-01,BP,SAVE THE CHANGE,1.51,,1105.18,Savings,Nottingham,UK,1.51,debit
761,2022-04-01,Unknown,INTEREST (GROSS),,1.09,1106.69,Interest,Swansea,UK,1.09,credit
762,2022-04-01,FPO,ROBERT RECORD,14.0,,1105.6,Others,Nottingham,UK,14.0,debit
763,2022-04-01,DEB,BIRMINGHAM NS TVM,42.6,,1119.6,Hotels,Birmingham,UK,42.6,debit
764,2022-04-01,DEB,WAGAMAMA BIRMINGHA,24.85,,1162.2,Dine Out,Birmingham,UK,24.85,debit
765,2022-04-01,DEB,H & M,17.99,,1187.05,Clothes,Unknown,Unknown,17.99,debit
766,2022-04-01,DEB,Caffe Concerto,15.05,,1205.04,Dine Out,London/birmingham,UK,15.05,debit
767,2022-04-01,DEB,UBER   *TRIP,1.0,,1220.09,Travel,Unknown,Unknown,1.0,debit
768,2022-04-01,FPO,TRADING212UK,700.0,,1221.09,Investment,Nottingham,UK,700.0,debit
769,2022-04-01,DD,BARCLAYS UK MTGES,981.71,,1921.09,Bills,Nottingham,UK,981.71,debit
770,2022-04-01,DD,NOTTM CITY COUNC,157.0,,2902.8,Bills,Nottingham,UK,157.0,debit
771,2022-04-01,DD,OCTOPUS ENERGY,90.0,,3059.8,Bills,Nottingham,UK,90.0,debit
772,2022-04-01,DD,SEVERN TRENT WATER,41.89,,3149.8,Bills,Nottingham,UK,41.89,debit
773,2022-04-01,BP,Q WANG,,782.0,3191.69,Supplementary Income,Nottingham,UK,782.0,credit
774,2022-04-01,SO,ESAVINGS ACCOUNT,300.0,,2409.69,Savings,Nottingham,UK,300.0,debit
775,2022-04-01,BP,SAVE THE CHANGE,3.17,,2709.69,Savings,Nottingham,UK,3.17,debit
776,2022-04-01,DEB,HOLIDAY INN EXPRES,65.0,,2712.86,Hotels,Unknown,Unknown,65.0,debit
777,2022-04-01,DEB,LAS IGUANAS - TEMP,37.4,,2777.86,Dine Out,Nottingham,UK,37.4,debit
778,2022-04-01,DEB,UBER   *TRIP,24.08,,2815.26,Travel,Unknown,Unknown,24.08,debit
779,2022-04-01,DEB,AMZNMktplace,9.99,,2839.34,Amazon,Nottingham,UK,9.99,debit
780,2022-04-01,DEB,HILTON HOTELS,1.0,,2849.33,Hotels,Unknown,Unknown,1.0,debit
781,2022-04-01,DEB,AMZNMktplace,190.87,,2850.33,Amazon,Nottingham,UK,190.87,debit
782,2022-04-01,DEB,HILTON HOTELS,235.0,,3041.2,Hotels,Unknown,Unknown,235.0,debit
783,2022-04-01,DEB,VIETNAMESE STREET,31.46,,3276.2,Dine Out,Birmingham,UK,31.46,debit
784,2021-12-31,DEB,LIDL GB  NOTTINGHA,11.58,,3307.66,Groceries,Nottingham,UK,11.58,debit
785,2021-12-31,DEB,AMZNMktplace,13.45,,3319.24,Amazon,Nottingham,UK,13.45,debit
786,2021-12-31,DD,TALKTALK LIMITED,21.0,,3332.69,Bills,Nottingham,UK,21.0,debit
787,2021-12-30,BP,SAVE THE CHANGE,0.75,,3353.69,Savings,Nottingham,UK,0.75,debit
788,2021-12-29,DEB,LIDL GB  NOTTINGHA,17.28,,3354.44,Groceries,Nottingham,UK,17.28,debit
789,2021-12-29,DEB,AMZNMktplace,5.97,,3371.72,Amazon,Nottingham,UK,5.97,debit
790,2021-12-29,BP,SAVE THE CHANGE,1.25,,3377.69,Savings,Nottingham,UK,1.25,debit
791,2021-12-29,DEB,WILKO RETAIL LIMIT,13.0,,3378.94,Other Shopping,Unknown,Unknown,13.0,debit
792,2021-12-29,DEB,UBER   *TRIP,12.42,,3391.94,Travel,Nottingham,UK,12.42,debit
793,2021-12-29,DEB,UBER   *TRIP,1.0,,3404.36,Travel,Nottingham,UK,1.0,debit
794,2021-12-29,FPO,TAMBA TAM,85.0,,3405.36,Services,Nottingham,UK,85.0,debit
795,2021-12-29,DEB,AMZNMktplace,15.9,,3490.36,Amazon,Nottingham,UK,15.9,debit
796,2021-12-29,DEB,AMZNMktplace,9.99,,3506.26,Amazon,Nottingham,UK,9.99,debit
797,2021-12-29,FPO,TRADING212UK,200.0,,3516.25,Investment,Nottingham,UK,200.0,debit
798,2021-12-29,CPT,LNK 583 MANSFIELD,100.0,,3716.25,Cash,Mansfiled,UK,100.0,debit
799,2021-12-29,DEB,GOOGLE *YouTube Vi,3.49,,3816.25,Uncategorized,Nottingham,UK,3.49,debit
800,2021-12-29,FPI,PAULINA PIPPEN,,320.0,3819.74,Supplementary Income,Nottingham,UK,320.0,credit
801,2021-12-24,DEB,CINEWORLD NOT CP,31.97,,3499.74,Entertainment,Nottingham,UK,31.97,debit
802,2021-12-24,DEB,AMZNMktplace,12.99,,3531.71,Amazon,Nottingham,UK,12.99,debit
803,2021-12-24,DEB,Audible UK,7.99,,3544.7,Entertainment,Nottingham,UK,7.99,debit
804,2021-12-24,BP,SAVE THE CHANGE,2.19,,3552.69,Savings,Nottingham,UK,2.19,debit
805,2021-12-23,DEB,EAST MIDS RAILWAY,8.4,,3554.88,Travel,Nottingham,UK,8.4,debit
806,2021-12-23,DEB,Subway 39497 Victo,6.19,,3563.28,Dine Out,Nottingham,UK,6.19,debit
807,2021-12-23,DEB,AMZNMktplace,14.95,,3569.47,Amazon,Nottingham,UK,14.95,debit
808,2021-12-23,DEB,AMZNMktplace,11.27,,3584.42,Amazon,Nottingham,UK,11.27,debit
809,2021-12-23,BP,SAVE THE CHANGE,0.24,,3595.69,Savings,Nottingham,UK,0.24,debit
810,2021-12-22,DEB,LIDL GB  NOTTINGHA,10.76,,3595.93,Groceries,Nottingham,UK,10.76,debit
811,2021-12-22,FPO,TRADING212UK,1000.0,,3606.69,Investment,Nottingham,UK,1000.0,debit
812,2021-12-22,BP,SAVE THE CHANGE,0.6,,4606.69,Savings,Nottingham,UK,0.6,debit
813,2021-12-22,BGC,UNIV OF NOTTINGHAM,,3801.43,4607.29,Paycheck,Nottingham,UK,3801.43,credit
814,2021-12-21,DEB,LIDL GB  NOTTINGHA,27.61,,805.86,Groceries,Nottingham,UK,27.61,debit
815,2021-12-21,DEB,HOLLAND & BARRETT,15.98,,833.47,Groceries,Unknown,Unknown,15.98,debit
816,2021-12-21,DEB,T K MAXX,11.97,,849.45,Other Shopping,Unknown,Unknown,11.97,debit
817,2021-12-21,DEB,ORIENTAL MART HYDR,8.85,,861.42,Groceries,Nottingham,UK,8.85,debit
818,2021-12-21,DEB,AMZNMktplace,13.99,,870.27,Amazon,Nottingham,UK,13.99,debit
819,2021-12-21,FPO,TRADING212UK,100.0,,884.26,Investment,Nottingham,UK,100.0,debit
820,2021-12-21,FPO,TRADING212UK,700.0,,984.26,Investment,Nottingham,UK,700.0,debit
821,2021-12-21,FPI,Q WANG,,1000.0,1684.26,Supplementary Income,Nottingham,UK,1000.0,credit
822,2021-12-21,BP,SAVE THE CHANGE,0.6,,684.26,Savings,Nottingham,UK,0.6,debit
823,2021-12-20,FPO,TRADING212UK,300.0,,684.86,Investment,Nottingham,UK,300.0,debit
824,2021-12-20,FPI,SHEILA SMITH,,380.0,984.86,Supplementary Income,Nottingham,UK,380.0,credit
825,2021-12-20,DEB,SAINSBURYS S/MKTS,34.4,,604.86,Groceries,Unknown,Unknown,34.4,debit
826,2021-12-20,BP,SAVE THE CHANGE,1.08,,639.26,Savings,Nottingham,UK,1.08,debit
827,2021-12-20,DEB,AMZNMktplace,5.99,,640.34,Amazon,Nottingham,UK,5.99,debit
828,2021-12-17,DEB,BIRMINGHAM NS T/O,17.0,,646.33,Hotels,Birmingham,UK,17.0,debit
829,2021-12-17,DEB,ATRIUM JUBILEE 1,4.25,,663.33,Dine Out,Nottingham,UK,4.25,debit
830,2021-12-17,DEB,AMZNMktplace,31.99,,667.58,Amazon,Nottingham,UK,31.99,debit
831,2021-12-17,DEB,Amazon.co.uk*8J9B3,6.69,,699.57,Amazon,Nottingham,UK,6.69,debit
832,2021-12-17,DEB,ANTIGONI ABRAHMS,6.0,,706.26,Entertainment,London,UK,6.0,debit
833,2021-12-17,TFR,R LAWRENCE,,300.0,712.26,Supplementary Income,Nottingham,UK,300.0,credit
834,2021-12-17,FPO,MR J LITCHFIELD,340.0,,412.26,Services,Nottingham,UK,340.0,debit
835,2021-12-17,DD,VIRGIN MEDIA PYMTS,25.5,,752.26,Bills,Nottingham,UK,25.5,debit
836,2021-12-17,BP,SAVE THE CHANGE,3.0,,777.76,Savings,Nottingham,UK,3.0,debit
837,2021-12-16,DEB,COMFORT INN BIRMIN,53.1,,780.76,Hotels,Birmingham,UK,53.1,debit
838,2021-12-16,DEB,NANDOS BULLRING,39.1,,833.86,Dine Out,Birmingham,UK,39.1,debit
839,2021-12-16,DEB,EAST MIDS RAILWAY,27.5,,872.96,Travel,Nottingham,UK,27.5,debit
840,2021-12-16,DEB,WAGAMAMA BIRMINGHA,16.8,,900.46,Dine Out,Birmingham,UK,16.8,debit
841,2021-12-16,DEB,DANTER ATTRACTIONS,7.0,,917.26,Entertainment,Birmingham,UK,7.0,debit
842,2021-12-16,DEB,DANTER ATTRACTIONS,7.0,,924.26,Entertainment,Birmingham,UK,7.0,debit
843,2021-12-16,DEB,IZ *EPICURIOSITY L,5.5,,931.26,Groceries,Unknown,Unknown,5.5,debit
844,2021-12-16,DEB,STARBUCKS,4.0,,936.76,Dine Out,Unknown,Unknown,4.0,debit
845,2021-12-16,DD,O2,16.66,,940.76,Other Shopping,Nottingham,UK,16.66,debit
846,2021-12-16,BP,SAVE THE CHANGE,0.82,,957.42,Savings,Nottingham,UK,0.82,debit
847,2021-12-15,DEB,Subway 32610 Midla,6.19,,958.24,Dine Out,Nottingham,UK,6.19,debit
848,2021-12-15,DEB,AMZNMKTPLACE AMAZO,11.99,,964.43,Amazon,Nottingham,UK,11.99,debit
849,2021-12-15,CPT,LOYD LOYD 36 - 38,40.0,,976.42,Cash,Birmingham,UK,40.0,debit
850,2021-12-15,BP,SAVE THE CHANGE,1.4,,1016.42,Savings,Nottingham,UK,1.4,debit
851,2021-12-14,FPO,TAMBA TAM,10.0,,1017.82,Services,Nottingham,UK,10.0,debit
852,2021-12-14,DEB,LIDL GB  NOTTINGHA,25.12,,1027.82,Groceries,Nottingham,UK,25.12,debit
853,2021-12-14,DEB,AMZNMktplace,12.99,,1052.94,Amazon,Nottingham,UK,12.99,debit
854,2021-12-14,DEB,HPI INSTANT INK UK,3.49,,1065.93,Other Shopping,Unknown,Unknown,3.49,debit
855,2021-12-14,BP,SAVE THE CHANGE,0.5,,1069.42,Savings,Nottingham,UK,0.5,debit
856,2021-12-13,DEB,Audible UK,18.0,,1069.92,Entertainment,Nottingham,UK,18.0,debit
857,2021-12-13,DEB,SUMUP  *CODE 34,22.5,,1087.92,Services,Nottingham,UK,22.5,debit
858,2021-12-13,BP,SAVE THE CHANGE,2.78,,1110.42,Savings,Nottingham,UK,2.78,debit
859,2021-12-13,DEB,LAND ROVER SOCIAL,5.55,,1113.2,Entertainment,Solihull,UK,5.55,debit
860,2021-12-13,DEB,THE BLIND RABBIT,9.25,,1118.75,Dine Out,Nottingham,UK,9.25,debit
861,2021-12-13,DEB,THE BLIND RABBIT,7.95,,1128.0,Dine Out,Nottingham,UK,7.95,debit
862,2021-12-13,FPO,TAMBA TAM,15.0,,1135.95,Services,Nottingham,UK,15.0,debit
863,2021-12-13,DEB,No. Twelve,45.63,,1150.95,Dine Out,Nottingham,UK,45.63,debit
864,2021-12-13,DEB,ATRIUM JUBILEE 1,2.65,,1196.58,Dine Out,Nottingham,UK,2.65,debit
865,2021-10-12,DEP,CLUB LLOYDS WAIVED,,3.0,1199.23,Supplementary Income,Nottingham,UK,3.0,credit
866,2021-10-12,PAY,CLUB LLOYDS FEE,3.0,,1196.23,Bills,Nottingham,UK,3.0,debit
867,2021-10-12,DEB,Subway 32610 Midla,6.19,,1199.23,Dine Out,Nottingham,UK,6.19,debit
868,2021-10-12,DEB,ANTIGONI ABRAHMS,6.0,,1205.42,Entertainment,London,UK,6.0,debit
869,2021-09-12,BP,SAVE THE CHANGE,0.42,,1211.42,Savings,Nottingham,UK,0.42,debit
870,2021-08-12,DEB,AMZNMktplace,9.99,,1211.84,Amazon,Nottingham,UK,9.99,debit
871,2021-08-12,DEB,AMZNMktplace,8.59,,1221.83,Amazon,Nottingham,UK,8.59,debit
872,2021-08-12,BP,SAVE THE CHANGE,0.8,,1230.42,Savings,Nottingham,UK,0.8,debit
873,2021-07-12,FPO,TAMBA TAM,10.0,,1231.22,Services,Nottingham,UK,10.0,debit
874,2021-07-12,FPO,TAMBA TAM,95.0,,1241.22,Services,Nottingham,UK,95.0,debit
875,2021-07-12,DEB,LIDL GB  NOTTINGHA,17.2,,1336.22,Groceries,Nottingham,UK,17.2,debit
876,2021-07-12,BP,SAVE THE CHANGE,0.63,,1353.42,Savings,Nottingham,UK,0.63,debit
877,2021-06-12,DEB,ORIENTAL MART HYDR,27.97,,1354.05,Groceries,Nottingham,UK,27.97,debit
878,2021-06-12,DEB,TESCO STORES 6735,3.4,,1382.02,Groceries,Unknown,Unknown,3.4,debit
879,2021-06-12,BP,SAVE THE CHANGE,1.56,,1385.42,Savings,Nottingham,UK,1.56,debit
880,2021-06-12,CPT,LNK TESCO LONG ROW,40.0,,1386.98,Cash,Nottingham,UK,40.0,debit
881,2021-06-12,DEB,SUMUP  *TODO LATIN,10.0,,1426.98,Entertainment,Nottingham,UK,10.0,debit
882,2021-06-12,DEB,ATRIUM JUBILEE 1,4.25,,1436.98,Dine Out,Nottingham,UK,4.25,debit
883,2021-03-12,FPO,ANDREW MUMBI,24.0,,1441.23,Services,Nottingham,UK,24.0,debit
884,2021-03-12,DEB,Subway 32610 Midla,6.19,,1465.23,Dine Out,Nottingham,UK,6.19,debit
885,2021-03-12,BP,SAVE THE CHANGE,0.15,,1471.42,Savings,Nottingham,UK,0.15,debit
886,2021-02-12,DEB,ANTIGONI ABRAHMS,6.0,,1471.57,Entertainment,London,UK,6.0,debit
887,2021-02-12,DEB,LIDL GB  NOTTINGHA,10.85,,1477.57,Groceries,Nottingham,UK,10.85,debit
888,2021-02-12,BP,SAVE THE CHANGE,0.82,,1488.42,Savings,Nottingham,UK,0.82,debit
889,2021-01-12,Unknown,INTEREST (GROSS),,0.68,1489.24,Interest,Nottingham,UK,0.68,credit
890,2021-01-12,FPO,VINOTH VINCE,10.0,,1488.56,Services,Nottingham,UK,10.0,debit
891,2021-01-12,DEB,Amazon.co.uk*072AV,12.99,,1498.56,Amazon,Nottingham,UK,12.99,debit
892,2021-01-12,DEB,Subway 32610 Midla,6.19,,1511.55,Dine Out,Nottingham,UK,6.19,debit
893,2021-01-12,TFR,R LAWRENCE,,191.99,1517.74,Supplementary Income,Nottingham,UK,191.99,credit
894,2021-01-12,DD,BARCLAYS UK MTGES,981.71,,1325.75,Bills,Nottingham,UK,981.71,debit
895,2021-01-12,DD,NOTTM CITY COUNC,157.0,,2307.46,Bills,Nottingham,UK,157.0,debit
896,2021-01-12,DD,OCTOPUS ENERGY,90.0,,2464.46,Bills,Nottingham,UK,90.0,debit
897,2021-01-12,DD,SEVERN TRENT WATER,41.86,,2554.46,Bills,Nottingham,UK,41.86,debit
898,2021-01-12,SO,ESAVINGS ACCOUNT,300.0,,2596.32,Savings,Nottingham,UK,300.0,debit
899,2021-01-12,BP,SAVE THE CHANGE,0.34,,2896.32,Savings,Nottingham,UK,0.34,debit
900,2021-11-30,FPO,TAMBA TAM,10.0,,2896.66,Services,Nottingham,UK,10.0,debit
901,2021-11-30,DEB,RAJAH FOOD STORE L,7.66,,2906.66,Groceries,Nottingham,UK,7.66,debit
902,2021-11-30,BP,SAVE THE CHANGE,1.19,,2914.32,Savings,Nottingham,UK,1.19,debit
903,2021-11-29,DEB,REVOLUTION DE CUBA,8.75,,2915.51,Dine Out,Nottingham,UK,8.75,debit
904,2021-11-29,DEB,REVOLUTION DE CUBA,8.75,,2924.26,Dine Out,Nottingham,UK,8.75,debit
905,2021-11-29,DEB,UBER   *EATS,35.31,,2933.01,Dine Out,Unknown,Unknown,35.31,debit
906,2021-11-29,FPO,TRADING212UK,1500.0,,2968.32,Investment,Nottingham,UK,1500.0,debit
907,2021-11-29,BP,SAVE THE CHANGE,1.95,,4468.32,Savings,Nottingham,UK,1.95,debit
908,2021-11-29,BGC,UNIV OF NOTTINGHAM,,3801.83,4470.27,Paycheck,Nottingham,UK,3801.83,credit
909,2021-11-29,FPO,ANDREW MUMBI,15.0,,668.44,Services,Nottingham,UK,15.0,debit
910,2021-11-29,DEB,LIDL GB  NOTTINGHA,19.39,,683.44,Groceries,Nottingham,UK,19.39,debit
911,2021-11-29,DEB,LIDL GB  NOTTINGHA,18.99,,702.83,Groceries,Nottingham,UK,18.99,debit
912,2021-11-29,DEB,AMZNMktplace,6.49,,721.82,Amazon,Nottingham,UK,6.49,debit
913,2021-11-26,DEB,AMZNMktplace,9.99,,728.31,Amazon,Nottingham,UK,9.99,debit
914,2021-11-26,DEB,Subway 32610 Midla,6.19,,738.3,Dine Out,Nottingham,UK,6.19,debit
915,2021-11-26,FPO,TRADING212UK,400.0,,744.49,Investment,Nottingham,UK,400.0,debit
916,2021-11-26,FPI,P PROKURAT,,320.0,1144.49,Supplementary Income,Nottingham,UK,320.0,credit
917,2021-11-26,DD,TALKTALK LIMITED,21.0,,824.49,Bills,Nottingham,UK,21.0,debit
918,2021-11-25,DEB,ANTIGONI ABRAHMS,6.0,,845.49,Entertainment,London,UK,6.0,debit
919,2021-11-25,BP,SAVE THE CHANGE,0.82,,851.49,Savings,Nottingham,UK,0.82,debit
920,2021-11-24,FPO,TAMBA TAM,10.0,,852.31,Services,Nottingham,UK,10.0,debit
921,2021-11-24,FPO,MARIA DONNARUMMA,75.0,,862.31,Services,Nottingham,UK,75.0,debit
922,2021-11-24,DEB,Audible UK,7.99,,937.31,Entertainment,Nottingham,UK,7.99,debit
923,2021-11-24,DEB,Subway 32610 Midla,6.19,,945.3,Dine Out,Nottingham,UK,6.19,debit
924,2021-11-24,BP,SAVE THE CHANGE,0.94,,951.49,Savings,Nottingham,UK,0.94,debit
925,2021-11-24,BGC,GOOGLE IRELAND,,63.7,952.43,Supplementary Income,Nottingham,UK,63.7,credit
926,2021-11-23,DEB,LIDL GB  NOTTINGHA,17.19,,888.73,Groceries,Nottingham,UK,17.19,debit
927,2021-11-23,DEB,RAJAH FOOD STORE L,11.87,,905.92,Groceries,Nottingham,UK,11.87,debit
928,2021-11-23,BP,SAVE THE CHANGE,0.13,,917.79,Savings,Nottingham,UK,0.13,debit
929,2021-11-22,DEB,AMZNMktplace,17.87,,917.92,Amazon,Nottingham,UK,17.87,debit
930,2021-11-22,BP,SAVE THE CHANGE,5.4,,935.79,Savings,Nottingham,UK,5.4,debit
931,2021-11-22,DEB,LIDL GB  NOTTINGHA,23.44,,941.19,Groceries,Nottingham,UK,23.44,debit
932,2021-11-22,DEB,ORIENTAL MART HYDR,13.11,,964.63,Groceries,Nottingham,UK,13.11,debit
933,2021-11-22,DEB,AMZNMktplace,10.99,,977.74,Amazon,Nottingham,UK,10.99,debit
934,2021-11-22,DEB,WILKO RETAIL LIMIT,7.75,,988.73,Other Shopping,Unknown,Unknown,7.75,debit
935,2021-11-22,DEB,200 DEGREES,5.9,,996.48,Dine Out,Nottingham,UK,5.9,debit
936,2021-11-22,DEB,HOLLAND & BARRETT,4.35,,1002.38,Groceries,Unknown,Unknown,4.35,debit
937,2021-11-22,FPO,TAMBA TAM,10.0,,1006.73,Services,Nottingham,UK,10.0,debit
938,2021-11-22,DEB,Subway 32610 Midla,6.19,,1016.73,Dine Out,Nottingham,UK,6.19,debit
939,2021-11-22,DEB,STARBUCKS,6.1,,1022.92,Dine Out,Unknown,Unknown,6.1,debit
940,2021-11-22,FPI,SHEILA SMITH,,380.0,1029.02,Supplementary Income,Nottingham,UK,380.0,credit
941,2021-11-19,DEB,LIDL GB  NOTTINGHA,12.52,,649.02,Groceries,Nottingham,UK,12.52,debit
942,2021-11-19,DEB,ATRIUM JUBILEE 1,4.25,,661.54,Dine Out,Nottingham,UK,4.25,debit
943,2021-11-19,FPO,TRADING212UK,400.0,,665.79,Investment,Nottingham,UK,400.0,debit
944,2021-11-19,BP,SAVE THE CHANGE,0.51,,1065.79,Savings,Nottingham,UK,0.51,debit
